Date;Fonctionnalité
?/?/?;Analyse downloaded files (auto or manual)
?/?/?;Auto refresh data files
?/?/?;Convert csv to js using python to speedup loading
?/?/?;Add button to call
?/?/?;Add button to have more information
?/?/?;Readme for developer
?/?/?;Readme for end user
?/?/?;Max/Min zoom
?/04/2021;Refactor button
?/04/2021;Refactor tab
?/04/2021;Interface to custom icon/color/background online
16/04/2021;Test iframe from php file
15/04/2021;Cookie consentement V1
14/04/2021;Auto school selection using cookie on last search
13/04/2021;School search tool moved on map
12/04/2021;School search tool corrected
11/04/2021;Legend display corrected
11/04/2021;Dynamic legend display
11/04/2021;Legend html added to speedup tests
11/04/2021;Legend for each school type
11/04/2021;Icons for each school type
10/04/2021;Refactor mapBuilder class part 2
09/04/2021;Javascript directory refactor part 1
08/04/2021;Button added on each tab
08/04/2021;Button with arguments added
07/04/2021;Cookie added on page loading
06/04/2021;Tab on firefox added
05/04/2021;Add overflow-y and height on link popup
05/04/2021;Add overflow-y and height on tab popup
04/04/2021;Button added on first tab
04/04/2021;Button added on popup
04/04/2021;Synchronous db data getter
03/04/2021;Test promises
02/04/2021;Refactor mapBuilder class part 1
01/04/2021;First part comments added on ecole-marseille.js
31/03/2021:Audit tab added on popup
30/03/2021:File instruction for audit feature
29/03/2021;Convert downloaded files
28/03/2021;Download marseille audit ecole second half
27/03/2021;Popup tab updated
27/03/2021;Test leaflet.edgebuffer.js less than 5 seconds
26/03/2021;Download marseille audit ecole first half
26/03/2021;District data csv to js (5.5 seconds loading page)
25/03/2021;Popup html added to speedup tests
24/03/2021;tabs updated
24/03/2021;Popup content updated
23/03/2021;Popup link updated
22/03/2021;Size popup updated
21/03/2021;Activate bindTooltip and popup with only headers of each tabs
20/03/2021;Update marker loading with desactivate bindTooltip and popup
18/03/2021;Convert database to js using php to speedup loading
17/03/2021;Code refactor
16/03/2021;Markers legend
10/03/2020;Display with zoom corrected on current map
10/03/2020;Hover Sector corrected on current map
10/03/2020;Sector added on current map
10/03/2020;Sector label hide using zoom level on example
10/03/2020;Sector label added on example
09/03/2020;School sector added on example
05/03/2020;Density of school added on areas
05/03/2020;Priority district using Choropeth added on current map
04/03/2020;Priority district using Choropeth example part 2
03/03/2020;Control loading added
27/02/2020;Read csv into json using ajax
26/02/2020;Convert csv json to javascript object
25/02/2020;Convert csv json column to javascript object
24/02/2020;Regex used to correct csv file reader
23/02/2020;Priority district using Choropeth example part 1
22/02/2020;Search box, add div html and update map CSS
21/02/2020;Search box, use lib and update css
20/02/2020;Search box, import lib
19/02/2020;Auto-scroll de la page désactivé après avoir cliqué sur un lien d'un onglet
18/02/2020;Auto-scroll de la page désactivé après avoir cliqué sur un marqueur
18/02/2020;Bulle d'information connectée à la base de données
17/02/2020;Bulle d'information ajoutée
17/02/2020;Champs de la popup mis à jour
16/02/2020;Dimension Popup adaptée à la taille de la carte
15/02/2020;Icônes des marqueurs en fonction d'un paramètre
14/02/2021;Mise à jour de l'affichage cross-platform plus responsiv
13/02/2021;Connexion à la base de données écoles avec les onglets
13/02/2021;Adaptation onglets aux écoles
12/02/2021;Ajout du système d'onglets
11/02/2021;Connexion à la BD et fichier csv disponible
11/02/2021;Ajout du cross-platform avec Bootstrap
10/02/2021;Ajout de la première école sur une carte Leaflet
